,embed,bias
983,stop the feds from locking away our north carolina beaches our obx beaches belong to you richard burr senatorburr,1.0
984,that last retweet demonstrates my point rep jeff duncan repjeffduncan,0.0
985, for many few health plan choices high premiums on online exchanges wsj senator john thune senjohnthune 2,0.0
986,ocare s medical device tax will cost our nation 33 000 jobs unacceptable lasenbill cassidy billcassidy 2,1.0
987,join deborah and me at comerica park on may 18 as we work to help end breastcancer follow komendetroit amp register to run or walk john dingell john_dingell 2,0.0
988, we cannot balance the budget on the backs of our seniors rep garciajoe garcia joegarcia,0.0
989,photo my edenprairie office delivered local student valentines to veterans at vaminneapolis happyvday mn03rep erik paulsen reperikpaulsen 2,0.0
990, michaellambe what s the concern i am waiting for details but want to see secure border amp worker program w out citizenship richard hudson reprichhudson 2,1.0
991,munhall rally shows united front against foreign dumping via tribliverep tim murphy reptimmurphy,0.0
992,it was great visiting with members of the petroleum marketers association of america pmaa today in washington rep kevin yoder repkevinyoder,0.0
993,when democrats don t vote republicans win rep alan grayson alangrayson,1.0
994,it was a privilege to meet with the kern county honor flight these men and women are a true embodiment of service kevin mccarthy gopwhip,0.0
995,students are telling congress dontdoublemyrate i ve answered the call only 23 members needed to force a vote matt cartwright repcartwright 2,0.0
996,joining garrisonradio on 93wibc at 9 05 a m tune in senator dan coats sendancoats 201,0.0
997,please direct message me your number now rt itds desperately need ur help my mom is in intensive care in newton amp needs 2 be transportedcory booker corybooker 2,0.0
998,remember to follow me on facebook and continue to conversation with more than 140 characters paul tonko reppaultonko 2,0.0
999,sen sessions on bill bennett show this a m guest host peter kirsanow to talk immigration listen live at 8 05 sen jeff sessions senatorsessions 201,0.0
1000,rt sharonday happy women s equality day honor to post this speaker john boehner speakerboehner 2,0.0
1001,via courierjournal s jrcarrollcj senator mitch mcconnell meeting with president obama now on isil threat sen mcconnell press mcconnellpress 2,0.0
1002,this is why i don t have confidence we ve learned the lessons from the tragic attacks on our consulate in benghazi rep kevin yoder repkevinyoder,0.0
1003,proud to be in niagara falls for the 2014 standagainstracism ywcausa brian higgins repbrianhiggins,1.0
1004,my interview w niawapo on posttv discussing 63 marchonwashington and its legacyeleanor h norton eleanornorton,0.0
1005,i am so proud of my wonderful children aliciamenendez amp rob jr fathersdaysen robert menendez senatormenendez 2,0.0
1006,check out my piece in usatoday say no to detroit bailoutssenator ron johnson senronjohnson 2,0.0
1007,in just a couple mins i m going to give my reaction to obama s statement on iraq on huffpostlive watch hererep peter welch peterwelch,0.0
1008,here we go huskies it s the homestretch now bleedblue canines uconnwbbelizabeth esty repesty,0.0
1009,icymi minnpost article about my and amyklobuchar s bipartisan bicameral work to combat sex trafficking notforsalerep erik paulsen reperikpaulsen 2,0.0
1010,today the house is voting on creating jobs by building the keystonepipeline rt if you think its timetobuildjudgecarter judgecarter,1.0
1011,relieved to hear that gsfoundation team is safe and accounted for at bostonmarathon santabarbaralois capps reploiscapps,0.0
1012,congrats on the nahro award toniatkins well deserved for a long time advocate for affordable housing rep scott peters repscottpeters,1.0
1013,posigen solar company looking to expand across new york state via albanybizreviewpaul tonko reppaultonko,0.0
1014,now wearing the ups browns and ready to hand deliver packages to the good people of mn08 u s rep rick nolan usrepricknolan,0.0
1015,ready for sb48 go broncos unitedinorangerep diana degette repdianadegette,0.0
1016,mt goulaglenn looking forward to hearing congpalazzo speak at the ingalls shipbuilding supplier conference hiindustriescong steven palazzo congpalazzo,0.0
1017, senangusking and i penned an op ed together explaining our student loan repayment proposal fixthemazerichard burr senatorburr 2,1.0
1018,enjoy espn s not top 10 wastebook exposes a top ten list your favorite sports teams don t want you to see 10 sen tom coburn m d tomcoburn,1.0
1019,nearly 71 000 illinoisans will no longer need snap if we raisethewage to 10 10 talkpovertyrobin kelly reprobinkelly,1.0
1020, chrislhayes this a m highlighted special interest tax giveaways in fiscalcliff deal worth sharing jim moran jim_moran,1.0
1021, thehill new regs on power plants could cost thousands of jobs amp 30 billion annually per uschamber tcotrep bill huizenga rephuizenga 201,1.0
1022,the unfunded liability in medicare the trustees tell us is 34 trillion over the next 75 years repkevinbrady repkevinbrady,1.0
1023,my pleasure deciminyancory booker corybooker,0.0
1024,thanks to everyone who attended the 2014 ag briefing at nwtc today wi08reid ribble repribble,0.0
1025,we vote on amash conyers massie mulvaney polis amdt today to rein in domest surveillance of innocent americans how will your rep vote nsathomas massie repthomasmassie,0.0
1026,rt jaylow fridaykitty gt gt you putin me on russian into war syriaously repkevinbrady repkevinbrady 2013 ,0.0
1027,i wonder how often the pentagon misplaces a marine col on active duty benghazijason chaffetz jasoninthehouse,0.0
1028, revelations confirmed complaints cornyn had received in 2011 and 2012 from the king street patriots san johncornyn johncornyn,1.0
1029,going to vote on keystonexl approval right now kerry bentivolio repkerryb,0.0
1030,introducing the path to prosperity board game under the gopbudget it s hard to get ahead p2u s rep mark pocan repmarkpocan,1.0
1031, mustikhan if kashmiri independence movement dominated by islam radicals rather than freedom amp democracy advocates they still deserve a votedana rohrabacher danarohrabacher 2,1.0
1032,look forward to being at nasastennis today via sunherald stennis will celebrate beginning of new rocket test erasenator thad cochran senthadcochran,0.0
1033, nofilter today senator baldwin introduced her first piece of legislation to the u s senate _sen tammy baldwin senatorbaldwin,0.0
1034,congratulations paul ferreira a newly minted eagle scout from sanramon ca15rep eric swalwell repswalwell,0.0
1035,al is pleased to announce minnesota usda partnership to give farmers certainty and improve water quality al franken alfranken,0.0
1036,about to go on thishour on cnn tune in now loretta sanchez lorettasanchez,0.0
1037,discussing latest on ukraine with wolfblitzer cnn in a few minutesjohn mccain senjohnmccain,0.0
1038, ericnakagawa changetip thank you sadly i have to turn down your cup of coffee i can t accept gifts but i appreciate the gesturerep mike honda repmikehonda,0.0
1039,proud to have joined repwalorski and pass a bill expanding military whistleblower protections mn03rep erik paulsen reperikpaulsen,0.0
1040,video calls army corps plan to restrict fishing below dams unreasonable watch full press conference tailwaterssen lamar alexander senalexander 2013 ,0.0
1041, mecopower feel the same way it was our pleasure to do it amp an honor to be in a position to help mike quigley repmikequigley 2,0.0
1042,video from vettes for vets cruise on sat great day for a great cause rep todd rokita toddrokita,0.0
1043,on floor to note youth traffic safety month motor vehicle accidents continue to be leading cause of death for teens glenn gt thompson congressmangt,0.0
1044,photo proud to sign repjoeheck s three kids mine bill to help create jobs in nvspeaker john boehner speakerboehner 2,1.0
1045, powerhrg plans to create 200 il05 jobs this year thanks for making 200 families so much happier mike quigley repmikequigley,0.0
1046,if you missed it my opening statement from today s fisa hearing is up on my youtube page hjc113bob goodlatte repgoodlatte 2,0.0
1047,new aecfkidscount report finds 23 of u s children live in poverty we can do better we must do better kidscountkirsten gillibrand sengillibrand 2,0.0
1048,rt recoveringpol we have 68 nolabelsorg problem solvers amazing how many congressmen do we need for critical mass and how do we get _jim himes jahimes 2,0.0
1049,proud to standwithpeggy pregnant workers shouldn t have to choose between a healthy pregnancy and a paycheck congressman nadler repjerrynadler,0.0
1050, spendingistheproblem what could you do with your 52k share of the national debt louie gohmert replouiegohmert 2,0.0
1051,glad to meet with the olson family of bismarck to talk about their efforts to raise awareness about juvenile diabetessenator john hoeven senjohnhoeven,0.0
1052,icymi here s a replay of me on the brianthomas1 show on 55krc last tuesday got a question tweet me steve chabot repstevechabot 2,0.0
1053, prekforall is part of my opportunityplan to empower working women to thrive in 21st century economy investinkidskirsten gillibrand sengillibrand,0.0
1054,we can effectively combat terrorism without sacrificing the civil liberties which make us free resetthenetbernie sanders sensanders,1.0
1055,as a social worker i know impact a teacher can have in life of a child inspiring students amp challenging them to be all they can be barbara mikulski senatorbarb 2,0.0
1056,tune in to foxnews at 12 et i m joining america s news headquarters to talk about the debtceilingrep marlin stutzman repstutzman,0.0
1057,proud to support repdavecamp s bill to stop the administration from implementing new rules that unfairly target their political enemies rep steve scalise stevescalise,1.0
1058,breaking news i made my prediction for the 2013 ncaa championship last night on the msnbc oh ohiostate edshowrep tim ryan reptimryan 2,0.0
1059,new report shows how gov t could save billions by ending handouts to agribusiness corporatewelfare cropinsurancesenator pat toomey sentoomey 2,0.0
1060,americans must be able to voice their political and religious views without fear of reprisal from the government rep martha roby repmartharoby,1.0
1061,today i teamed up with charactersunite to help raise awareness on the issue of bullyingrep jon runyan repjonrunyan,0.0
1062,we ve heard republicans say they want to close loopholes let s start closing them rep keith ellison keithellison,1.0
1063, calinnovates thank you for the time and the insight linda t s nchez replindasanchez,0.0
1064,the 87121 zip code has the most foreclosures and most abandoned foreclosed properties there is help come to west mesa high school today michellelujangrisham replujangrisham,0.0
1065,rt housescience first astronauts introduced by nasa read more this day in history 4 9 1959louie gohmert replouiegohmert,0.0
1066,pls join me in celebrating pridemonth very glad that ny was among the first to get on the right side of historypaul tonko reppaultonko,0.0
1067,rt senleepresssec watch senmikelee s town hall meeting in west jordan is streaming here utpol leetownhallmike lee senmikelee 2014 ,0.0
1068,by blocking immigration reform house republicans are single handedly hurting our economy timeisnowjan schakowsky janschakowsky,1.0
1069,honored to meet father amp son veterans ssgt gregory juedes amp lcpl alex juedes thank you for your service john mccain senjohnmccain 201,0.0
1070,arrivd frm visitg troops in afghanistan these soldiers guard freedoms we enjoy never forget to give thanks in evrywayjoaquin castro joaquincastrotx,0.0
1071,tomorrow staff will hold local office hours in campbell amp buckingham counties to assist with federal agencies rep robert hurt reproberthurt 2014 ,0.0
1072,1 vet lost in va is too many but to have 1 700 ignored is a violation of every principle we promote 2 protect themjackie speier repspeier,1.0
1073,we need to work with the corps of engineers to get quality work done in a timely manner lets get these projects moving waterresourcerep rick crawford reprickcrawford,0.0
1074,i m proud to help outstanding young men amp women from across nc who want to attend 1 of our nation s 5 prestigious service academiessenator kay hagan senatorhagan 2,0.0
1075, tobinwilliamson thanks for sharing your view rep tim griffin reptimgriffin,0.0
1076,va chief shinseki has a lot to explain our view via usatodayjohncornyn johncornyn 2,1.0
1077,stand up for your 2nd amendment rights by signing the petition at stopattrandy weber txrandy14,0.0
1078,scotus gets it right and allows pro marriage equality rulings to stand great day for justice for families in virginia and 10 other states gerry connolly gerryconnolly,1.0
1079, patriotmom61 i have voted against aid for libya amp egypt must prioritize spending 4 us needs amp not 4 those countries who work against us rep rob wittman robwittman 201,0.0
1080,please dm me your number i d like to help rt crankynursenj animal control said they can t do anything either who can help this poor dogcory booker corybooker 2,0.0
1081,great news pease officially selected to receive new kc 46a tanker big win for nh jobs economy amp natl security sen jeanne shaheen senatorshaheen 201,0.0
1082,w students frm my alma mater southwesteagles westmiamimiddle southside elementary 4 mdcps hall of fame inductionileana ros lehtinen roslehtinen,0.0
1083, leswinan it isn t you just tweeted us after all so please feel free to add your voice to the conversationmike quigley repmikequigley,0.0
1084,three years ago president obama weakened this country and our economy with obamacare after spending more than 2 bill shuster repbillshuster,1.0
1085, kentuckybaeo and pastor jerry stephenson are working hard to promote school choice initiatives in kentucky sen mcconnell press mcconnellpress,1.0
1086,no budget no pay is a common sense idea members of congress do not get paid until they do their job and pass a budgetsean patrick maloney repseanmaloney 2,1.0
1087, potus is not credible to determine the best interests of israel randy weber txrandy14 2,1.0
1088,congratulations to mitchell technical institute and lakeareatech on being named two of the 150 best community colleges by aspeninstitute senator tim johnson senjohnsonsd,0.0
1089,burden of student loan debt affects a borrower s ability to buy a home or plan for retirement we need to do something about it fairshotsen dianne feinstein senfeinstein,1.0
1090,it s a great day to be in southeast ar1 we re discussing the 2014 farmbill implementation in lake village this am rep rick crawford reprickcrawford,1.0
1091,murray on 20wk abortion ban no matter who introduces it it is not going anywhere in the senate standwithwomensenator patty murray pattymurray 2,1.0
1092,now we need to stopthesequester and pass a balancedbudget that puts ny18 families back to work sean patrick maloney repseanmaloney,1.0
1093,potus i am optimistic that we can get immigration reform done this year jim himes jahimes 2,1.0
1094,read my statement on epa s new rules for existing power plants here senator john hoeven senjohnhoeven 2,1.0
1095,this guy ca49darrell issa darrellissa,0.0
1096,icymi cnnkyra amp i discuss my legislation on ac360 that will battle child sex predators in the workplace watch here dennis ross repdennisross 2014 ,0.0
1097,march 3rd is the deadline to apply for federal student aid visit and get started today fafsa educationjerry mcnerney repmcnerney,0.0
1098,u s can benefit from uas technology without sacrificing our safety or personal privacy this is a responsibility i take very seriously jay rockefeller senrockefeller,1.0
1099,calling for hearing after recent train derailments 21st century economy needs 21st century transportation network to protect communities amy klobuchar amyklobuchar,1.0
1100,i posted photos on fb from today s mexican american student association celebration in the bronx hispaniccaucusjose e serrano repjoseserrano,0.0
1101,watch my speech on marketplacefairnessact here senator dick durbin senatordurbin 2,0.0
1102,rt raylahood new locomotive built by americans usdotfra any better way to celebrate natl transportation week john garamendi repgaramendi 201,0.0
1103,rt comfoodjustice we need to work towards a better definition of what rural means repjimcosta fairfarmbill farmbillrep jim costa repjimcosta 2,0.0
1104,sen murray if you care about the deficit you need to care about climate change actonclimatesenator patty murray pattymurray,1.0
1105,getting our town hall meeting in moapa valley started nv04rep steven horsford rephorsford,0.0
1106,what are the president s real priorities put americans back to work or please the narrow environmental lobby kevin mccarthy gopwhip,1.0
1107,spoke with students from quincy high school s government classes this week on everything from the economy to isil rep tim walberg repwalberg,0.0
1108,president reagan 26 years ago today kenny marchant repkenmarchant 2,0.0
1109,rt cliff_sims senshelby tees off on obama administration it s time to say no to illegals enforce the law via _richard shelby senshelby 201,1.0
1110,it took a nearly 13 hour filibuster but congrats to senrandpaul for finally getting a response from the administration standwithrandus rep rodney davis rodneydavis,1.0
1111,and still violates 4thamendment rt gorman_siobhan house intel cmte restructuring of nsa phone prgm sets up clash w judiciary cmte justin amash repjustinamash 2,0.0
1112,strengthening our nation s infrastructure is not a democratic or republican issue it just makes common sense my reprichardneal reprichardneal,0.0
1113,joined by jeff lennhardt john amp mitchell murphy at andrewconnollymakeadifferenceday in dubuque bruce braley brucebraley 2,0.0
1114,did you know closing white house tours is only 0 65 of the required cuts from sequester by secret service lynn westmoreland repwestmoreland,0.0
1115,i ll be on with wegoted at 12 30 cst listen live here u s rep mark pocan repmarkpocan 201,0.0
1116,in a few mins i ll be on the house floor arguing against a gopshutdown telling house rs enoughalready tune in atlouise slaughter louiseslaughter,0.0
1117,you are wrong sir check your facts jpdtiga afpnc you amp most gop congressmen caved amp voted for a tax increase on the wealthy richard hudson reprichhudson 2014 ,1.0
1118,rt houseappropsgop chairman rephalrogers thanks us_fda for its decision to prohibit generic crushable oxycontin from coming to market _hal rogers rephalrogers 2,0.0
1119, cerebralguild drug testing can prevent truck drivers amp doctors endangering others deter teens amp prevent welfare being used 4 drugs dana rohrabacher danarohrabacher 201,1.0
1120,proud to be an honorary member of greenmtncollege class of 2014 sen patrick leahy senatorleahy,0.0
1121,the farmbill includes language i authored that states the cwa was never intended to regulate water runoff on logging roads idpolsenator mike crapo mikecrapo,1.0
1122,had the opportunity to talk education with some impressive clemson student government members and facultytim scott senatortimscott,1.0
1123,workers have used fmla leave over 100 million times whatmothersneed is paidfamilyleave so more can use it to care for familyrosa delauro rosadelauro,1.0
1124, wi is full of john millers ordinary people with ingenuity determination amp civic spirit to become not just successful business owners sen tammy baldwin senatorbaldwin 2,0.0
1125,pell grants amp student loans were what allowed my 6 siblings amp i to go to college after dad got sick amp had to leave his job dontdoublemyratesenator patty murray pattymurray 2013 ,0.0
1126,john attended the 9 11 remembrance ceremony today on the capitol steps read his 9 11 statement here remember911rep john delaney repjohndelaney 2,0.0
1127, sschwarz07 ok article u attached about so called plight of polar bears proclaimed litany of could be horrible threats to bears not realdana rohrabacher danarohrabacher,1.0
1128,watch cspan live tues as senate judiciary committee holds hearing on constitutional amdt to getmoneyout of politics start time 10 30amsen patrick leahy senatorleahy 2,0.0
1129, izzysroses that is in your eyes but if stated as fact u ve made ur whole case against prez suspect dana rohrabacher danarohrabacher,1.0
1130,joined pres obama amp colleagues today in statuary hall at dedication of rosa parks statue she refused to move her seat amp moved a nation carolynb maloney repmaloney 201,0.0
1131,please keep everyone in oklahoma in your prayers as they endure another day of severe weather and outbreaks of tornados rep rick crawford reprickcrawford,0.0
1132,rt bostonglobe editorial edward markey is smart to advocate for fixing aging gas pipelinesed markey markeymemo 2,0.0
1133, livecut katheinemann marybonomack danarohrabacher darrellissa was mistaken in debate dem leaders declared tax rates not permanentdana rohrabacher danarohrabacher,0.0
1134,my tribal bills passed natresources today local control amp economic self determination preferable to fed managersrepmarkamodei markamodeinv2 2,1.0
1135,sens mcconnell amp paul engaging in a colloquy on senate floor now on obamacare s impact on kentucky watch here sen mcconnell press mcconnellpress 2,1.0
1136,rt appropsdems sanfordbishop if we don t address sequestration long term effects on our economy will be devastating sanford bishop jr sanfordbishop 201,1.0
1137,pleased administration followed through on my request w senatorcardin to release home energy assistance federal funds as winter approaches barbara mikulski senatorbarb,1.0
1138, ziayusuf great to meet you too enjoyed our discussion eric cantor gopleader,0.0
1139,in case you missed it a great story by kpcc on the cirmeansjobs briefing i held this morning with repjeffdenham rep tony c rdenas repcardenas,0.0
1140,41 years after roevwade i am recommitting myself to passing laws that save the lives of unborn children amp protect women prolifecong tim huelskamp conghuelskamp 2,1.0
1141,ready to work w darrellissa to finish job of restoring postal service to long term solvency committed to getting this done in the 113th senator tom carper senatorcarper,0.0
1142,on veteransday amp everyday we must remember amp thank selfless veterans who sacrificed so much 2 keep our nation safesen heidi heitkamp senatorheitkamp 201,0.0
1143,live now honored to be presiding over house debate today rep randy hultgren rephultgren 201,0.0
1144,happy to cosponsor legislation that would prevent knives on planes tsa listened amp delayed knife rule change donald payne jr repdonaldpayne 2,0.0
1145, matthewkalish you should have said hello cory booker corybooker,0.0
1146,proud to stand with daddies amp all oregon biz in the fight for nonettax new blog of my visit to daddies ron wyden ronwyden 201,1.0
1147,delaying keystonexl could harm the environment irony timetodeciderepkevinbrady repkevinbrady,1.0
1148,lots going on come houseforeign tomorrow subcommittee hearing lebanon s security challenges u s interests ileana ros lehtinen roslehtinen 2014 04 0,0.0
1149,sen sessions fights for steel workers in alabama aldotcom sen jeff sessions senatorsessions 2,1.0
1150,staff repgaramendi on house floor now talking about jobs amp tax policy you can watch here cspanjohn garamendi repgaramendi 2013 ,0.0
1151,chairman mccaul in my judgment it has all the hallmarks of an act of terrorism we just don t know who s behind it michael mccaul mccaulpressshop 2,1.0
1152,more bad obamacare news marsha blackburn marshablackburn,1.0
1153, getcovered mt waplanfinder jessica in spokane has gone 2yrs w o her meds amp but is now enrolled via waplanfindersenator patty murray pattymurray 201,0.0
1154,regrettably the house failed to approve its proposal for a new farmbill frankly i was shocked by the outcome jeff fortenberry jefffortenberry,1.0
1155, pscspeaks thanks for folks participation in this event we will continue to do more on this front rep rob wittman robwittman,0.0
1156, senatorisakson we ve done our part in the house ga09 is with you when you standuptoreid pass the cr to defundobamacare senatemustactdoug collins repdougcollins 2,0.0
1157,tim howard ussoccer played a strong half need to make sure we take advantage of quality looks on offense teamusa ibelieve usmntrep bill huizenga rephuizenga,0.0
1158, melodyvacc you can learn more about the bill here gt gt rep lee terry leeterryne 201,0.0
1159,plaza colombia celebration will be on saturday and sun life stadium celebration will be on sunday colombia miamijoe garcia joegarcia,0.0
1160,on this day day in 1964 the civil rights act was signed into law tim bishop timbishopny,0.0
1161,sorry inspectorlawyer death threats don t scare me get plenty of those the keystroke is mightier than the sword rep eric swalwell repswalwell,1.0
1162,i posted 5 photos on facebook in the album voting right rally on the steps of the supreme court us rep e b johnson repebj,0.0
1163,rt alldailyrepnews garamendi backs bills on flood rules insurance ratesjohn garamendi repgaramendi 2,1.0
1164,rt senjohnthune applaud house passage of bill to approve keystonexl president has blocked the project amp its 20 000 jobs for 1 706 days speaker john boehner speakerboehner 201,0.0
1165,may we all take time to reflect on our blessings and spend time with friends and family these next few days merry christmas dennis ross repdennisross,0.0
1166, obamacare to insure 2 million fewer than previously estimated according to cbo trainwreck brokenpromisesrichard burr senatorburr 2,1.0
1167,update las vegas man vandalizes el paso billboards kfox el paso top stories johncornyn johncornyn 201,0.0
1168,our operations on the ground don t come free help keep this campaign firing on all cylinders al franken alfranken 2,1.0
1169,mcconnell my constituents in kentucky will not accept a tax hike in place of spending cuts already agreed to by both parties sequestersen mcconnell press mcconnellpress 2,0.0
1170,thanks i m proud of srtanford congrats though to all the michigan st fans rt michaelpacholek tough loss but good season for stanford cory booker corybooker,0.0
1171,the right to vote is a cornerstone of democracy reaffirm your right by making sure you re registered celebratenvrdnancy pelosi nancypelosi 2,0.0
1172,every day researchers are getting closer to finding treatments and a cure for alzheimers great job by harvardsteve israel repsteveisrael,0.0
1173,the 20th is western caucus day proud to lead a caucus that s been fighting for the west for 20 years follow them westerncaucus steve pearce repstevepearce,0.0
1174,excited for barackobama s mybrotherskeeper initiative important effort to expand opportunity for young men of color throughout nationjose e serrano repjoseserrano,1.0
1175,icymi i was on msnbc with tjholmes on saturday talking about the situation in iraqjim langevin jimlangevin,0.0
1176,17 billionth barrel of oil entered taps this weekend thx alyeskapipeline and the countless individuals fueling this vital ak lifelinerep don young repdonyoung,0.0
1177,not one more cent should be spent on obamacare sign the petition if you agree _marco rubio marcorubio,1.0
1178,today we remember those brave individuals who lost their lives in the attack on pearlharborjackie walorski repwalorski,0.0
1179,last congress i introduced a bill to address teen pregnancy w senatorboxer latinachatrep roybal allard reproybalallard,1.0
1180,if it wasn t for the commitment of unions we would not have a min wage a 40 hr workweek or workplace safety standards happylabordaymark takano repmarktakano,0.0
1181,just finished talking about nolabelsorg and making government work through bipartisanship on kusi_newsrep scott peters repscottpeters,0.0
1182,congrats to pharmajet a colorado company on the us_fda approval of it s need free injectorsrep ed perlmutter repperlmutter,0.0
1183, mlive huizenga invokes bill clinton mlk in inaugural statementrep bill huizenga rephuizenga,0.0
1184,rt rmazetns hasc ndaa includes provision requiring services to have body armor specially designed for women sez repmiketurnerus rep mike turner repmiketurner 2,0.0
1185,hard to hide responsibility for harryreidsshutdown if senate rejects house passed bill to to open national parkssenator ted cruz sentedcruz,0.0
1186,congrats to solonschools scholarship recipients my staff presented them with proclamations at today s solonchamberoh lunch oh14dave joyce repdavejoyce,0.0
1187,indeed mt repmaloney new 9 11 study 15 higher cancer rate for 1st responders why zadroga act is necessary congressman nadler repjerrynadler 201,1.0
1188,introduced senatormenendez at his community forum on us policy in india feat asst sec of state nisha disai biswalrep frank pallone frankpallone,1.0
1189,jody walters and her son kaden perrin visited me today to talk about dyslexia education and screening ddwv12shelley moore capito repshelley,0.0
1190,excited to hear lowe s is bringing a new customer support center to indy nice to see in05 attracting new jobs susan w brooks susanwbrooks,0.0
1191,deeply saddened to learn of my friend franklautenberg s passing frank a wwii veteran was truly a fighter amp i was proud to work with him sheldon whitehouse senwhitehouse 2,0.0
1192,i had a great meeting with a group of dc interns from the university of alabama today rep terri a sewell repterrisewell,0.0
1193,rt reuters u s nurse who had ebola is virus free health officialslouie gohmert replouiegohmert 201,0.0
1194, thecnsunion i couldn t agree more we are starting to see progress but i fully support a new bridge brian higgins repbrianhiggins,0.0
1195, spendingistheproblem epa has given 100 million in grants to foreign countries over the last 10 yrs cutwastediane black repdianeblack 2,1.0
1196,watch now speaking on my amendment to hr10 to increase accountability amp transparency for students in charters frederica wilson repwilson 2014 ,1.0
1197,i join the rest of the world in offering my condolences to the family of nelson mandela the world was a better place for having him in it ted yoho reptedyoho,0.0
1198,my statement on the senate passing renewui i urge speakerboehner to bring this bipartisan bill to a vote this weekjan schakowsky janschakowsky,1.0
1199,today i voted for sunsetting 2001 authorization or use of military force amuf but rejected by vote of 191 233lloyd doggett replloyddoggett,1.0
1200,the administration s unlawful exception for d c insiders was asking for a lawsuit says heritage foundation senator ron johnson senronjohnson,1.0
1201,watch my remarks on hres573 the bipartisan resolution condemning the nigerian girls abduction bringbackourgirlsfrederica wilson repwilson,0.0
1202,hazlet business owners association sponsoring food drive in keansburg nj through 2 28 to help call 732 888 8118rep frank pallone frankpallone,0.0
1203,enjoyed meeting w the closeup_dc group from brandon valley today senator john thune senjohnthune,0.0
1204,video my remarks during today s ways amp means oversight hearing re taxes amp healthcarelaw waysandmeansgoprep erik paulsen reperikpaulsen 2013 03,0.0
1205, u s archivist tells oversight committee the irs did not follow the law buzzfeed pjnetrep tim walberg repwalberg,0.0
1206,joined onstage by amyklobuchar sen tom harkin amp iowademocrats chair scott brennan at jj dinner in dm teambraleybruce braley brucebraley 2,0.0
1207,wishing ginny hildebrand from aafb the best in retirement and grateful for her 28 years of service kyrsten sinema repsinema,0.0
1208, pattymurray unfortunately for rsherman_25 there are no sorry receivers on the broncos sb48 sorrynotsorrymichael bennet senbennetco,0.0
1209,happy birthday president john adams america s first vice president second president and a true patriot repscottperry repscottperry,0.0
1210, pautrat_cecilia call my office tomorrow and see if we can be helpful 973 639 8700cory booker corybooker 2,0.0
1211, ap south africa s president says nelson mandela has died at age 95 jacob zuma says we ve lost our greatest son mike fitzpatrick repfitzpatrick,0.0
1212,i applaud the fcc for its on going efforts to investigate amp resolve long distance call failures in rural areas senator john thune senjohnthune 2,0.0
1213, georgehwbush leadership and commitment to public servicemike conaway conawaytx11,0.0
1214, mikkijenson b c if syria uses cw w o any response from int l community what would prevent iran or north korea from the same askheidihsen heidi heitkamp senatorheitkamp,0.0
1215,higher medical costs are forcing more americans to go without care gallupnews obamacare brokenpromisesrep adrian smith repadriansmith 2,1.0
1216,rt peacecorps today acting director chr at salemstate w reptierney ssupresidentpat amp pcv samanthakinney to talk pc servicerep john tierney reptierney 2014 ,0.0
1217,spent my career working to stregthenmh now is the time for compromise not for thoughtless divisive attackspaul tonko reppaultonko,0.0
1218,my statement on today s jobs report kenny marchant repkenmarchant 2,0.0
1219,it was a honor to be there thanks for having me rt copeland_ted desjarlaistn04 thanks for coming to ngatscott desjarlais desjarlaistn04 2,0.0
1220,take a look at my press releases this week fiu israel fpl organandtissuedonation cuba freedomfightersileana ros lehtinen roslehtinen 2,0.0
1221,check out my latest interview with gretawire on irsscandal lois lerner s blackberry foxnews tcotjim_jordan jim_jordan,1.0
1222,rt rosadelauro great to be with so many strong women talking about how the affordable care act is helping millionsjanice hahn rep_janicehahn 2,0.0
1223,cut funds appropriated for usda s wasteful and inefficient cfo and redirected to the efficient inspector general rep paul gosar dds repgosar,1.0
1224,my first visit to broadview greatly informed my understanding of the pain caused by deportations i m glad sec johnson saw it for himself senator dick durbin senatordurbin,0.0
1225,about to unveil the unite hope wall hal rogers rephalrogers,0.0
1226,also happy 239th birthday to the usarmy and all who have served rep erik paulsen reperikpaulsen,0.0
1227,on this 50th anniversary of the marchonwashington take a few minutes to read mlk s inspiring words mow50keith rothfus keithrothfus 2,0.0
1228,i enjoyed visiting the best buy distribution center in ardmore last week rep tom cole tomcoleok04,0.0
1229,to 819th engineer co of az national guard deployed last week for afghanistan thank you for your servicerep paul gosar dds repgosar,0.0
1230,icymi veterans in 9 cities have to wait more than a year for claims to be addressed via postreiddean heller sendeanheller 2,0.0
1231,rt housecommerce notreadyforprimetime it s become clear that the admin needed more time to build the exchanges fred upton repfredupton 201,0.0
1232,hhs secretary sebelius is testifying before congress about the obamacare rollout what would you ask her watch here brad wenstrup repbradwenstrup 2,0.0
1233,thanks lorettasanchez for supporting hr 4351 the alzheimer s accountability act together we re making it a top priority endalzrep brett guthrie repguthrie,0.0
1234, barackobama s latest keystone delay hurts montana jobs no more excuses it s timetobuildsteve daines stevedaines,1.0
1235,excited to be going to the boyscounts 2013jambo in west virginia this weekend with other scouting caucus members rep chris collins repchriscollins,0.0
1236,icymi this weekend al and us ag sec vilsack highlighted the importance of passing a long term farmbillal franken alfranken 2,0.0
1237,our economy could lose 40 000 stem grads if don t pass cir costofinactionrep henry cuellar repcuellar,0.0
1238, davidcarroll3 tnaquarium have to agree with the groundhog looking forward to seeing fellow vol peyton lift the lombardi trophy chuck fleischmann repchuck,0.0
1239,it s past time to bringbackourmarine sgt tahmooressi pjnetstephen fincher repfinchertn08,0.0
